# Days with AQI,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10,year,cbsa_code
7,2,5,.,.,.,94,94.0,64.0,.,.,.,.,7,.,2005,29100
222,161,58,3,.,.,115,69.0,42.0,.,.,113,.,109,.,2005,32140
365,150,188,20,7,.,161,93.0,56.0,.,3,116,22,222,2,2005,33460
176,115,56,5,.,.,143,84.0,45.5,.,.,176,.,.,.,2005,39860
359,218,130,9,2,.,152,75.0,46.0,.,.,116,.,243,.,2005,40340
365,283,79,2,1,.,153,62.0,36.0,12,.,138,.,215,.,2005,41060
119,92,24,2,1,.,152,63.0,27.0,.,.,.,.,119,.,2005,49100
363,184,163,16,.,.,135,86.0,50.0,.,.,114,.,249,.,2005,17380
99,54,43,2,.,.,117,78.0,49.0,.,.,.,.,99,.,2005,18060
49,22,27,.,.,.,95,75.0,52.0,.,.,.,.,49,.,2005,24980
361,125,197,36,3,.,156,101.0,58.0,.,3,126,10,222,.,2005,25060
109,42,63,3,1,.,155,80.0,53.0,.,.,.,.,109,.,2005,25620
365,148,206,10,1,.,168,79.0,54.0,.,.,78,.,287,.,2005,27140
115,38,74,3,.,.,129,79.0,55.0,.,.,.,.,115,.,2005,29860
365,82,191,78,13,1,202,129.0,67.0,.,3,135,38,187,2,2005,32820
279,161,103,14,1,.,156,87.0,47.0,.,.,193,.,86,.,2005,32940
284,162,112,10,.,.,126,90.0,48.0,.,.,201,.,83,.,2005,35020
103,56,46,1,.,.,106,67.0,46.0,.,.,.,.,103,.,2005,38100
364,163,179,22,.,.,140,87.0,53.0,.,.,103,.,261,.,2005,46180
109,60,46,3,.,.,137,70.0,47.0,.,.,.,.,109,.,2005,46980
119,81,38,.,.,.,95,67.0,34.0,.,.,.,.,119,.,2005,14700
112,61,49,2,.,.,105,72.0,48.0,.,.,.,.,112,.,2005,17860
120,118,2,.,.,.,52,32.0,19.0,.,.,.,.,.,120,2005,22800
359,301,57,1,.,.,102,59.0,26.0,.,.,.,.,.,359,2005,27900
365,87,202,59,16,1,210,127.0,65.0,1,17,140,69,137,1,2005,28140
365,261,89,15,.,.,122,87.0,41.0,.,.,311,23,31,.,2005,39500
121,61,58,2,.,.,107,73.0,50.0,.,.,.,.,103,18,2005,41140
365,17,179,120,47,2,205,159.0,97.0,.,4,84,161,79,37,2005,41180
365,194,149,22,.,.,143,91.0,49.0,1,61,132,106,65,.,2005,44180
365,181,169,15,.,.,116,86.0,51.0,3,1,44,296,19,2,2005,13740
365,344,18,3,.,.,124,39.0,15.0,50,.,.,.,302,13,2005,14580
365,321,41,3,.,.,137,53.0,20.0,97,.,.,.,110,158,2005,15580
365,323,42,.,.,.,96,55.0,17.0,124,.,.,169,71,1,2005,24500
358,337,18,3,.,.,113,40.0,17.0,.,.,.,.,102,256,2005,25740
365,302,62,1,.,.,105,58.0,38.0,19,.,202,.,60,84,2005,28060
342,300,37,2,3,.,162,55.0,21.0,65,.,.,.,116,161,2005,33540
113,91,22,.,.,.,75,58.0,28.0,.,.,.,.,113,.,2005,24260
61,45,16,.,.,.,87,64.0,38.0,.,.,.,.,.,61,2005,30420
363,329,33,1,.,.,101,50.0,31.0,100,.,183,.,80,.,2005,30700
105,88,16,1,.,.,102,55.0,23.0,.,.,.,.,105,.,2005,35820
365,125,210,30,.,.,147,97.0,56.0,.,.,96,30,168,71,2005,36540
121,117,4,.,.,.,68,38.0,19.0,.,.,.,.,121,.,2005,42420
124,84,39,1,.,.,130,67.0,37.0,.,.,.,.,116,8,2005,43580
365,342,23,.,.,.,87,49.0,36.0,152,.,213,.,.,.,2005,16180
260,253,7,.,.,.,67,35.0,17.5,.,.,.,.,55,205,2005,21220
213,207,6,.,.,.,74,48.0,41.0,.,.,213,.,.,.,2005,21980
307,307,.,.,.,.,43,25.0,15.0,307,.,.,.,.,.,2005,23820
365,104,197,55,9,.,200,115.0,62.0,.,15,223,.,102,25,2005,29820
362,334,28,.,.,.,79,47.0,23.0,.,.,.,.,.,362,2005,37220
365,166,191,7,1,.,155,84.0,52.0,.,22,219,.,24,100,2005,39900
244,152,78,14,.,.,140,81.0,46.0,.,.,154,.,90,.,2005,13620
365,112,217,28,8,.,195,97.0,58.0,.,19,87,33,226,.,2005,14460
362,319,39,4,.,.,133,54.0,36.0,.,.,328,.,34,.,2005,17200
365,197,114,53,1,.,164,107.0,47.0,.,.,87,230,48,.,2005,18180
212,170,38,4,.,.,143,71.0,39.5,.,.,171,.,41,.,2005,28300
213,178,29,6,.,.,129,64.0,37.0,.,.,174,.,39,.,2005,29060
365,267,78,16,4,.,177,75.0,41.0,4,53,183,64,61,.,2005,31700
344,258,78,8,.,.,119,77.0,40.0,.,.,344,.,.,.,2005,11660
111,49,57,5,.,.,112,82.0,53.0,.,.,.,.,111,.,2005,14180
325,256,65,4,.,.,116,62.0,9.0,.,.,.,219,106,.,2005,20980
116,48,65,3,.,.,115,74.0,55.0,.,.,.,.,116,.,2005,22900
364,277,82,5,.,.,115,68.0,41.0,.,.,316,.,48,.,2005,25460
108,53,53,2,.,.,119,81.0,51.0,.,.,.,.,108,.,2005,25760
115,55,59,1,.,.,111,76.0,52.0,.,.,.,.,115,.,2005,26300
365,125,196,40,4,.,169,101.0,61.0,.,6,149,.,210,.,2005,30780
365,82,191,78,13,1,202,129.0,67.0,.,3,135,38,187,2,2005,32820
113,50,63,.,.,.,99,75.0,53.0,.,.,.,.,113,.,2005,40780
116,56,56,4,.,.,131,83.0,52.5,.,.,.,.,116,.,2005,42620
117,66,50,1,.,.,101,73.0,47.0,.,.,.,.,117,.,2005,45500
365,131,195,33,6,.,166,102.0,57.0,.,8,92,62,178,25,2005,10900
357,260,77,18,2,.,161,77.0,40.0,.,.,266,16,74,1,2005,12100
365,68,221,54,19,3,217,129.0,66.0,.,58,113,71,122,1,2005,35620
365,69,210,60,25,1,206,139.0,71.0,.,17,114,87,145,2,2005,37980
365,250,88,19,8,.,185,87.0,44.0,.,70,237,.,57,1,2005,45940
363,297,44,19,2,1,204,77.0,34.0,.,.,324,39,.,.,2005,47220
365,108,231,24,2,.,169,95.0,61.0,.,2,181,.,29,153,2005,10740
365,285,77,3,.,.,112,61.0,42.0,.,4,330,.,31,.,2005,16100
60,59,1,.,.,.,61,31.5,19.0,.,.,.,.,.,60,2005,19700
105,104,1,.,.,.,52,20.0,9.0,.,.,.,.,105,.,2005,21580
365,243,110,11,1,.,151,77.0,45.0,.,26,289,38,12,.,2005,22140
