year,cbsa_code,PM2.5_sample_duration,PM2.5_arithmetic_mean,PM2.5_standard_deviation,PM2.5_ninety_ninth_percentile,PM2.5_seventy_fifth_percentile,Ozone_sample_duration,Ozone_arithmetic_mean,Ozone_standard_deviation,Ozone_ninety_ninth_percentile,Ozone_seventy_fifth_percentile,Carbon_monoxide_sample_duration,Carbon_monoxide_arithmetic_mean,Carbon_monoxide_standard_deviation,Carbon_monoxide_ninety_ninth_percentile,Carbon_monoxide_seventy_fifth_percentile,Sulfur_dioxide_sample_duration,Sulfur_dioxide_arithmetic_mean,Sulfur_dioxide_standard_deviation,Sulfur_dioxide_ninety_ninth_percentile,Sulfur_dioxide_seventy_fifth_percentile,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10
2009.0,24580.0,1.0,9.2,6.29322,17.6,15.7,0.0,0.040888625,0.012701,0.07375000000000001,0.05,0.0,0.3501192548139136,0.207270295352055,1.0747732612700986,0.4262643411259452,0.0,4.724046749999999,6.827552750000001,31.075000000000003,6.2,0.5972602739726027,0.36164383561643837,0.0410958904109589,0.0,0.0,140.0,83.0,44.0,0.0,0.0,132.0,54.0,179.0,0.0
2010.0,24580.0,1.0,9.2,6.29322,17.6,15.7,0.0,0.042968124999999996,0.011502374999999999,0.078875,0.050625,0.0,0.3501192548139136,0.207270295352055,1.0747732612700986,0.4262643411259452,0.0,4.019608,6.4782916,32.14,4.5600000000000005,0.6465753424657534,0.31232876712328766,0.038356164383561646,0.0027397260273972603,0.0,159.0,78.0,42.0,0.0,0.0,136.0,52.0,177.0,0.0
2011.0,24580.0,1.0,9.2,6.29322,17.6,15.7,0.0,0.04249325,0.012130374999999999,0.07899999999999999,0.049625,0.0,0.3501192548139136,0.207270295352055,1.0747732612700986,0.4262643411259452,0.0,4.2169315,6.427794499999999,31.950000000000003,5.1000000000000005,0.4876712328767123,0.4821917808219178,0.0273972602739726,0.0027397260273972603,0.0,195.0,83.0,51.0,0.0,0.0,93.0,26.0,246.0,0.0
2012.0,24580.0,0.0,8.526685333333333,5.889048,29.7,11.233333333333334,0.0,0.047057875,0.015254125,0.091875,0.055749999999999994,0.0,0.3501192548139136,0.207270295352055,1.0747732612700986,0.4262643411259452,0.0,3.4356495000000002,6.3055164999999995,29.299999999999997,3.5749999999999997,0.680327868852459,0.26229508196721313,0.04644808743169399,0.01092896174863388,0.0,179.0,89.0,43.0,0.0,0.0,161.0,31.0,174.0,0.0
2013.0,24580.0,0.0,7.894118333333334,5.613438666666666,26.133333333333336,10.799999999999999,0.0,0.043896124999999994,0.01202075,0.069875,0.05399999999999999,0.0,0.3501192548139136,0.207270295352055,1.0747732612700986,0.4262643411259452,0.0,3.8685771999999994,6.4589428,31.279999999999994,4.5600000000000005,0.6767123287671233,0.30684931506849317,0.01643835616438356,0.0,0.0,119.0,68.0,41.0,0.0,0.0,156.0,45.0,164.0,0.0
2014.0,24580.0,0.0,8.447788,5.353456333333334,26.066666666666666,11.1,0.0,0.0422385,0.011550000000000001,0.07100000000000001,0.050625,0.0,0.3501192548139136,0.207270295352055,1.0747732612700986,0.4262643411259452,0.0,4.2821582000000005,6.873365,33.46,5.0,0.6684931506849315,0.3095890410958904,0.021917808219178082,0.0,0.0,129.0,73.0,42.0,0.0,0.0,137.0,41.0,187.0,0.0
2015.0,24580.0,0.0,7.484995,5.5301605,25.95,9.95,0.0,0.0430345,0.011380624999999998,0.071875,0.05025,0.0,0.3501192548139136,0.207270295352055,1.0747732612700986,0.4262643411259452,0.0,2.8183086000000004,5.2645962,27.26,3.0999999999999996,0.7643835616438356,0.2273972602739726,0.00821917808219178,0.0,0.0,122.0,69.0,40.0,0.0,0.0,165.0,34.0,166.0,0.0
2016.0,24580.0,0.0,6.8691225,4.557236,22.0,8.65,0.0,0.041465125,0.011671375000000001,0.077625,0.048,0.0,0.3501192548139136,0.207270295352055,1.0747732612700986,0.4262643411259452,0.0,1.0963056,1.480369,6.42,1.7600000000000002,0.8333333333333334,0.15300546448087432,0.01366120218579235,0.0,0.0,136.0,58.0,35.0,0.0,0.0,166.0,0.0,200.0,0.0
2017.0,24580.0,0.0,6.8691225,4.557236,22.0,8.65,0.0,0.041945375,0.010652875,0.068875,0.048625,0.0,0.3501192548139136,0.207270295352055,1.0747732612700986,0.4262643411259452,0.0,0.47967960000000004,1.2359453999999999,5.1,1.02,0.8626373626373627,0.13186813186813187,0.005494505494505495,0.0,0.0,112.0,54.0,37.0,0.0,0.0,216.0,5.0,143.0,0.0
2018.0,24580.0,0.0,6.8691225,4.557236,22.0,8.65,0.0,0.04431012499999999,0.01180025,0.07425,0.051500000000000004,0.0,0.3501192548139136,0.207270295352055,1.0747732612700986,0.4262643411259452,0.0,0.6096652,1.1981408,5.28,1.0399999999999998,0.7890410958904109,0.19452054794520549,0.0136986301369863,0.0027397260273972603,0.0,151.0,64.0,41.0,0.0,0.0,220.0,7.0,138.0,0.0
